combination,a,b,c,d,thrower,time,order,maker
d,0,0,0,1,ab,1.80,1,kz
d,0,0,0,1,ab,1.63,1,kz
d,0,0,0,1,ab,1.74,1,kz
d,0,0,0,1,kz,1.51,1,kz
d,0,0,0,1,kz,1.73,1,kz
d,0,0,0,1,kz,1.50,1,kz
c,0,0,1,0,kz,1.86,2,kz
c,0,0,1,0,ab,1.75,2,kz
c,0,0,1,0,kz,1.65,2,kz
c,0,0,1,0,ab,1.75,2,kz
c,0,0,1,0,kz,1.45,2,kz
c,0,0,1,0,ab,1.94,2,kz
ac,1,0,1,0,kz,1.53,3,ab
ac,1,0,1,0,kz,2.00,3,ab
ac,1,0,1,0,ab,1.53,3,ab
ac,1,0,1,0,ab,2.00,3,ab
ac,1,0,1,0,kz,1.56,3,ab
ac,1,0,1,0,ab,1.85,3,ab
cd,0,0,1,1,ab,1.30,4,kz
cd,0,0,1,1,kz,1.03,4,kz
cd,0,0,1,1,kz,1.23,4,kz
cd,0,0,1,1,ab,1.92,4,kz
cd,0,0,1,1,kz,1.51,4,kz
cd,0,0,1,1,ab,1.21,4,kz
a,1,0,0,0,kz,1.41,5,ab
a,1,0,0,0,ab,1.77,5,ab
a,1,0,0,0,ab,1.72,5,ab
a,1,0,0,0,kz,1.80,5,ab
a,1,0,0,0,ab,1.54,5,ab
a,1,0,0,0,kz,1.21,5,ab
1,0,0,0,0,kz,1.38,6,kz
1,0,0,0,0,kz,1.48,6,kz
1,0,0,0,0,ab,1.37,6,kz
1,0,0,0,0,kz,1.41,6,kz
1,0,0,0,0,ab,1.42,6,kz
1,0,0,0,0,ab,1.56,6,kz
bd,0,1,0,1,kz,1.43,7,ab
bd,0,1,0,1,ab,1.46,7,ab
bd,0,1,0,1,kz,1.29,7,ab
bd,0,1,0,1,ab,1.27,7,ab
bd,0,1,0,1,kz,1.38,7,ab
bd,0,1,0,1,ab,1.22,7,ab
bc,0,1,1,0,ab,1.68,8,ab
bc,0,1,1,0,kz,1.66,8,ab
bc,0,1,1,0,ab,1.52,8,ab
bc,0,1,1,0,kz,1.51,8,ab
bc,0,1,1,0,kz,1.33,8,ab
bc,0,1,1,0,ab,1.39,8,ab
abcd,1,1,1,1,ab,1.53,9,kz
abcd,1,1,1,1,kz,1.41,9,kz
abcd,1,1,1,1,kz,1.65,9,kz
abcd,1,1,1,1,kz,1.51,9,kz
abcd,1,1,1,1,ab,1.60,9,kz
abcd,1,1,1,1,ab,1.56,9,kz
abd,1,1,0,1,ab,1.57,10,kz
abd,1,1,0,1,ab,1.57,10,kz
abd,1,1,0,1,kz,1.54,10,kz
abd,1,1,0,1,kz,1.53,10,kz
abd,1,1,0,1,ab,1.54,10,kz
abd,1,1,0,1,kz,1.51,10,kz
b,0,1,0,0,kz,1.46,11,ab
b,0,1,0,0,kz,1.23,11,ab
b,0,1,0,0,ab,1.14,11,ab
b,0,1,0,0,ab,1.60,11,ab
b,0,1,0,0,kz,1.69,11,ab
b,0,1,0,0,ab,1.73,11,ab
acd,1,0,1,1,kz,1.71,12,ab
acd,1,0,1,1,kz,1.48,12,ab
acd,1,0,1,1,ab,1.24,12,ab
acd,1,0,1,1,ab,1.72,12,ab
acd,1,0,1,1,ab,1.51,12,ab
acd,1,0,1,1,kz,1.60,12,ab
ad,1,0,0,1,ab,2.00,13,ab
ad,1,0,0,1,kz,1.88,13,ab
ad,1,0,0,1,kz,1.78,13,ab
ad,1,0,0,1,ab,1.83,13,ab
ad,1,0,0,1,ab,2.01,13,ab
ad,1,0,0,1,kz,1.61,13,ab
bcd,0,1,1,1,ab,1.19,14,ab
bcd,0,1,1,1,kz,1.31,14,ab
bcd,0,1,1,1,ab,1.25,14,ab
bcd,0,1,1,1,ab,1.31,14,ab
bcd,0,1,1,1,kz,1.26,14,ab
bcd,0,1,1,1,kz,1.35,14,ab
ab,1,1,0,0,kz,1.95,15,kz
ab,1,1,0,0,kz,2.00,15,kz
ab,1,1,0,0,kz,2.04,15,kz
ab,1,1,0,0,ab,2.13,15,kz
ab,1,1,0,0,ab,1.80,15,kz
ab,1,1,0,0,ab,1.94,15,kz
abc,1,1,1,0,ab,1.94,16,kz
abc,1,1,1,0,ab,1.82,16,kz
abc,1,1,1,0,kz,1.61,16,kz
abc,1,1,1,0,kz,1.60,16,kz
abc,1,1,1,0,ab,1.63,16,kz
abc,1,1,1,0,kz,2.10,16,kz
